,Const,Gęstość 1 + x*0.3,Gęstość 1 - x*0.3,Gęstość x,Gęstość -x
44,0.00011927869491046295,0.00021721108350902796,3.007016857736744e-07,8.857322973199189e-05,9.74273461906705e-07
45,4.884719601250254e-06,1.7591813957551494e-05,1.884951052488759e-05,7.294351235032082e-06,0.00026806467212736607
46,6.088623922551051e-05,3.1617314562026877e-06,1.5907120314295753e-06,3.887686034431681e-06,0.0004279365239199251
47,1.2060375411238056e-05,1.6270008700303151e-06,2.637373108882457e-05,6.59098441246897e-06,0.0002773085725493729
48,2.0137522369623184e-06,9.768167365109548e-05,2.552843034209218e-05,2.0520474208751693e-07,6.478841442003613e-06
49,4.676916796597652e-05,0.00010751251102192327,8.602637535659596e-06,9.953781409421936e-05,1.8071028534905054e-05
50,3.718309017131105e-05,2.039547780441353e-06,0.0001592757471371442,3.906727215507999e-05,2.746221525740111e-07
51,2.3102620616555214e-05,0.00011425005504861474,0.0003870218642987311,5.6998916988959536e-05,9.790675903786905e-06
52,4.459707997739315e-05,0.00015061076555866748,1.4910621757735498e-05,4.893284130957909e-05,6.585022492799908e-05
53,2.6816362151294015e-05,1.0027179087046534e-08,0.0005727169336751103,9.763836715137586e-06,1.82906114787329e-05
54,1.8120157392331748e-06,1.3327357009984553e-05,9.535728167975321e-06,0.000366714084520936,1.790519308997318e-05
55,1.993503701669397e-06,0.0006820897688157856,0.00011087075108662248,2.8541876417875756e-06,1.074630745279137e-06
56,1.4551915228366852e-05,9.235549077857286e-05,2.6423736017022748e-06,2.375105395913124e-06,3.197150363121182e-05
57,4.248285404173657e-05,9.922407571139047e-07,3.8016701182641555e-06,0.0006142037454992533,4.235484084347263e-06
58,4.716130206361413e-05,3.6748220736626536e-05,0.0004624597786460072,1.957683707587421e-05,0.0002645319909788668
59,0.0001852030400186777,1.0155074960493948e-05,1.980960223590955e-05,3.367606768733822e-05,3.795466909650713e-07
60,1.3115827641740907e-05,1.0606731848383788e-07,2.948212750197854e-05,7.890748747740872e-06,8.825936674838886e-05
61,1.6070236597443e-05,0.00016323575982823968,5.02054717799183e-06,3.7538669857895e-05,4.7903313316055574e-08
62,3.5657998523674905e-05,1.430194970453158e-06,0.00010120026126969606,1.9386789062991738e-08,8.008107397472486e-05
63,4.0583836380392313e-07,0.00012686350964941084,5.436982064566109e-08,1.8977337958858698e-06,2.49011063715443e-05
64,1.3826947906636633e-06,6.45701220491901e-06,1.6698550098226406e-08,6.609809588553617e-07,9.57700285653118e-06
65,3.328428283566609e-05,0.0001977914507733658,2.0193459931761026e-05,1.6505146049894392e-07,9.351388871436939e-05
66,0.0005617012502625585,3.0408159545913804e-06,3.5857592592947185e-05,8.616645936854184e-05,7.356298738159239e-06
67,0.0005308991530910134,0.00017602700972929597,0.0003461191663518548,1.648190664127469e-05,1.926746790559264e-06
68,6.341215339489281e-06,5.303126454236917e-05,6.915652193129063e-07,2.863862846425036e-06,6.081184255890548e-05
69,2.923925421782769e-07,1.304340003116522e-05,0.0003306299040559679,2.397709249635227e-05,0.00021256976469885558
70,7.003677637840156e-08,3.4848289942601696e-07,8.995834832603578e-08,0.00021155597642064095,9.632910951040685e-05
71,8.941892156144604e-05,1.0840954928426072e-05,7.404608186334372e-05,9.67695314102457e-07,0.00047844889922998846
72,3.8001686334609985e-05,0.0002545611059758812,6.842880975455046e-05,1.1333122529322281e-07,4.0936974983196706e-05
73,3.7014637200627476e-05,0.00022217251535039395,4.916387297271285e-08,0.00016591505846008658,1.0471276254975237e-06
74,3.0159138987073675e-05,9.407728794030845e-05,0.00030134382541291416,2.199180926254485e-06,4.144499689573422e-05
75,2.3484646590077318e-05,0.00018639900372363627,3.5869015846401453e-07,7.857763080210134e-07,0.00035337801091372967
76,3.462346285232343e-07,1.4727050938745379e-06,1.672320649959147e-06,0.00017824822862166911,3.032506356248632e-06
77,1.3904445040680002e-05,4.4450716814026237e-05,3.765561996260658e-05,0.00020429538562893867,2.21760501517565e-06
78,7.102453764673555e-06,0.0003497837751638144,9.823856089496985e-05,3.456736976659158e-07,3.008062776643783e-05
79,3.570357148419134e-05,3.6551919038174674e-05,4.230278136674315e-07,9.972819680115208e-05,7.88314537203405e-07
80,4.165121936239302e-08,7.232665666379035e-08,5.317564500728622e-06,1.6699436855560634e-07,7.042326615191996e-05
81,1.914851054607425e-06,2.74722115136683e-05,1.0994883723469684e-06,3.58918696292676e-05,2.6037596398964524e-06
82,3.387559263501316e-05,1.5535704733338207e-05,7.925613317638636e-06,2.6900383090833202e-05,1.6516771211172454e-05
83,4.717554475064389e-06,1.3624931852973532e-05,8.622844325145707e-05,9.418294212082401e-06,1.6088051779661328e-06
84,0.00012828536273445934,0.00016962077643256634,2.199180926254485e-06,2.800461334118154e-05,0.00023471163876820356
85,3.551191184669733e-06,6.517095698654884e-07,1.5979370573404594e-06,0.0005172760575078428,5.136600520927459e-06
86,7.418508175760508e-06,4.9213424063054845e-05,0.00013849386596120894,5.294796210364439e-07,0.00013220343680586666
87,7.277142140083015e-05,9.321958714281209e-06,7.778635335853323e-06,0.00016198317462112755,9.78042407950852e-07
88,1.5170120377661078e-06,7.4523136390780564e-06,0.0003094600688200444,6.945749191800132e-06,6.703178314637626e-07
89,3.079185262322426e-08,0.00012134987628087401,0.00017166385077871382,4.3659485527314246e-05,2.2361495211953297e-05
90,0.0009161346824839711,2.505839802324772e-05,1.630814040254336e-05,4.906635240331525e-07,0.00023658550344407558
91,0.00015618563338648528,0.00016077168402262032,2.2020067262928933e-05,8.188180800061673e-06,0.00020026702259201556
92,0.00010707785986596718,5.4986594477668405e-05,5.648020305670798e-06,8.796396286925301e-05,2.2064841687097214e-05
93,1.6311991203110665e-05,8.460574463242665e-10,5.1159073336748406e-05,5.616334419755731e-08,3.565230508684181e-05
94,4.5563945604953915e-05,0.00010736424155766144,4.4756438001058996e-05,4.035330130136572e-05,1.4161664694256615e-05
95,0.0006733259069733322,1.3831641808792483e-05,4.918501872452907e-06,3.0159217203618027e-06,9.722162758407649e-06
96,0.0003308033337816596,0.0003188751288689673,0.000905887340195477,2.1305459085851908e-07,1.5176942724792752e-07
97,1.8287428247276694e-06,2.661918188096024e-07,2.746221525740111e-07,2.034803583228495e-05,5.949527258053422e-05
98,4.7213711695803795e-07,2.1151436158106662e-06,3.0674823392473627e-06,3.437104169279337e-06,0.0003633614396676421
99,1.1173165148647968e-07,0.0003116617153864354,4.112736860406585e-06,1.6493524526595138e-05,1.381214133289177e-05
100,0.0001304765755776316,0.0009232782758772373,6.867358752060682e-05,0.0005900314426980913,1.0591207683319226e-05
