,Const,Liniowy od 1,Liniowy do 1
34,1.7370657587889582e-06,1.0700114216888323e-05,0.00011934118811041117
35,2.6400675778859295e-05,9.081765165319666e-05,0.00013357213174458593
36,2.8864018531749025e-05,2.918770860560471e-07,2.6811421776073985e-05
37,2.068279718514532e-05,3.633027881733142e-05,4.00800718125538e-06
38,3.077237124671228e-05,0.00033576524583622813,1.1672733535306179e-07
39,6.893860700074583e-05,3.1965894322638633e-06,0.00013753033999819309
40,1.3193655831855722e-05,1.392223225593625e-07,5.890093461857759e-07
41,1.4657692872788175e-06,0.00010759164433693513,5.08933917444665e-05
42,9.899896213028114e-06,4.563480615615845e-08,3.818415279965848e-05
43,1.9188121314073214e-08,5.051989501225762e-05,1.7304995708400384e-05
44,0.00010737906268332154,1.88081287433306e-07,1.342618816124741e-08
45,5.582483936450444e-06,1.5505647752434015e-05,3.7267345760483295e-06
46,1.331865496467799e-05,3.075121276197024e-05,0.00010310873767593876
47,1.1508771422086284e-05,8.784000783634838e-06,2.1559322703978978e-05
48,0.0001360079477308318,2.416436473140493e-08,1.7654616613071994e-06
49,1.8458217709849123e-07,4.093392635695636e-05,6.021154604241019e-06
50,0.0001319896982749924,1.1489367352623958e-05,1.521039848739747e-05
51,1.6054947991506197e-05,7.232665666379035e-08,1.514909126854036e-05
52,3.818415279965848e-05,1.569732376083266e-06,9.335717186331749e-05
53,5.497952224686742e-05,1.5129035091376863e-06,9.333874186268076e-05
54,1.1762836038542446e-06,2.8280343030928634e-05,2.0470452000154182e-06
55,2.29196302825585e-07,1.312792028329568e-05,5.174052830625442e-07
56,1.9975490431534126e-05,3.481452222331427e-05,7.706332212364941e-07
57,2.1836967789568007e-09,3.6589269711839734e-06,2.0752249838551506e-05
58,1.1276663371972973e-06,9.345268153992947e-06,3.3786841413530055e-07
59,1.1179541616002098e-05,0.00017044771811924875,2.0376006432343274e-05
60,5.739922198699787e-05,9.053132998815272e-08,2.8065210244676564e-07
61,8.485558282700367e-06,1.136042828875361e-05,7.888070285844151e-08
62,0.00035038156784139574,4.1068269638344646e-05,1.921455350384349e-06
63,5.5150906064227456e-08,0.0001412175188306719,7.647840902791359e-07
64,2.5991453185270075e-06,4.347101821622346e-06,3.2082149118650705e-05
65,2.9125914807082154e-05,3.5583834687713534e-06,1.7308962924289517e-05
66,0.00017984333680942655,0.00015456299297511578,4.9193360609933734e-05
67,4.597687075147405e-05,4.26788828917779e-05,7.819768370609381e-07
68,9.111325198318809e-05,1.0867663149838336e-05,5.21529364050366e-05
69,2.6324778445996344e-07,3.622533768066205e-06,3.084648051299155e-05
70,0.0006684844265691936,8.234130655182526e-05,9.415367685505771e-08
71,9.72109628492035e-05,1.206470187753439e-06,6.318421128526097e-06
72,0.00011743193317670375,3.565583028830588e-08,4.347101821622346e-06
73,1.2933526249980787e-08,5.596682967734523e-05,6.35683545624488e-06
74,2.485863433321356e-06,1.0410422873974312e-05,1.997975050471723e-05
75,4.71134262625128e-06,0.00032698974246159196,3.898386057699099e-05
76,7.027928222669289e-05,9.434398634766694e-06,1.1976068890362512e-05
77,2.6707823053584434e-05,4.8523426812607795e-05,7.714930916336016e-08
78,1.592338776390534e-05,5.0808386731659994e-05,1.80143160832813e-05
79,2.0039475202793255e-05,0.00016141320520546287,2.5379273438375094e-07
80,7.598714728374034e-05,6.88277868903242e-05,0.000488840916659683
81,4.345807246863842e-05,0.00015052301750984043,0.0003915754205081612
82,2.25611529458547e-08,9.529840099276043e-06,6.218042108230293e-05
83,6.78334026815719e-06,3.991829089500243e-07,6.644746690653847e-07
84,7.601207471452653e-05,6.657968333456665e-05,1.808522029023152e-05
85,0.00020066536671947688,3.26860390487127e-06,5.984519521007314e-05
86,1.2964301276952028e-05,9.047714411281049e-05,3.426246257731691e-05
87,3.7212168535916135e-05,4.46130070486106e-05,1.8317134163226e-05
88,7.27795559214428e-05,2.806520751619246e-05,0.00018448343325871974
89,9.031393710756674e-05,8.315677405335009e-05,5.357435657060705e-05
90,4.6012478378543165e-06,8.685351531312335e-06,1.6015555956983007e-06
91,3.44525215041358e-05,1.921354305522982e-05,0.0003296768700238317
92,1.4352513062476646e-05,7.413314506266033e-06,1.7545844457345083e-05
93,3.2864711101865396e-05,2.856761057046242e-05,1.4215550436347257e-05
94,1.8852733774110675e-06,0.00010859304893529043,0.00013576893252320588
95,1.4414001270779409e-05,1.7749780454323627e-06,4.4409400288714096e-05
96,0.0002173446409869939,7.567305146949366e-06,1.0779811418615282e-05
