,Const,Liniowy od 1,Liniowy do 1
56,2.485111508576665e-06,3.932946128770709e-06,2.411991317785578e-06
57,1.7115093214670196e-05,0.00011512838682392612,1.951980266312603e-06
58,0.0007961092633195221,2.8879387173219584e-05,1.673843144089915e-05
59,7.754715625196695e-08,1.2273269021534361e-05,2.054556716757361e-06
60,0.0001253961818292737,9.865419087873306e-06,3.4404958569211885e-05
61,2.7272631996311247e-05,4.247042306815274e-05,4.127938882447779e-05
62,0.00016036081069614738,3.8016701182641555e-06,6.837359978817403e-05
63,1.2326784599281382e-05,5.031674663769081e-05,8.122015060507692e-07
64,0.000975847418885678,1.467221591155976e-05,0.00016181328101083636
65,6.876054976601154e-05,8.262713527074084e-05,2.94458914140705e-07
66,0.0011256200959905982,9.66288716881536e-05,1.6550993677810766e-06
67,2.8557418772834353e-05,5.308684194460511e-07,3.769074101001024e-05
68,2.0227758795954287e-05,7.517542599089211e-06,5.7150213251588866e-05
69,6.510435923701152e-06,9.890135697787628e-05,5.46265255252365e-07
70,4.600225111062173e-06,3.2145180739462376e-06,6.836571628809907e-07
71,5.304515434545465e-05,6.401361315511167e-05,5.3476669563679025e-05
72,3.6006225855089724e-05,3.4321099519729614e-05,7.371000538114458e-05
73,2.8034904971718788e-05,1.0249505066894926e-05,0.0003211270086467266
74,2.3401531507261097e-05,1.3939315977040678e-06,1.1513624485814944e-05
75,0.00031003073672764003,7.039056072244421e-06,3.424739134061383e-06
76,3.429317075642757e-05,2.2848553271614946e-06,2.513758317945758e-06
77,3.731113338290015e-07,3.583613761293236e-08,6.644958830293035e-06
78,1.6649291865178384e-06,0.0004571225435938686,5.2643066737800837e-05
79,3.413140802877024e-05,8.734787115827203e-09,3.722962719621137e-05
80,7.392304542008787e-05,7.656182674509182e-07,3.017578364961082e-06
81,1.9328672351548448e-05,0.00044290078221820295,1.6505146049894392e-07
82,1.5859044424360036e-06,3.3023120522557292e-06,1.3393058679866954e-06
83,3.0437354325840715e-07,3.317432856420055e-05,0.00017434819892514497
84,0.0001899310591397807,7.4627314461395144e-06,0.0001289017964154482
85,1.8404991351417266e-05,0.0017983567668125033,6.888061761856079e-06
86,1.2909418728668243e-05,3.3772528240660904e-06,7.294351235032082e-06
87,0.00024779007071629167,3.112745616817847e-10,0.0004420382028911263
88,5.4408239520853385e-05,1.1182730304426514e-05,0.0002725646772887558
